raw_entity_name,plan_investment_amt,asset_class,asset_sub_class
RBC EMERGING MARKETS EQUITY FUND 6582,112889000.00,Equity,EM Equity
DFA EMERGING MARKETS VALUE FUND 2623,97620000.00,Equity,EM Equity
VANGUARD SMALL CAP VIPER,61575000.00,Equity,Small Cap
AQUA FINANCE TRUST 2400 7172046 1695,1582000.00,PENDING_AI,PENDING_AI
AMSR TRUST 1527 8172026 1385,1361000.00,PENDING_AI,PENDING_AI
AMSR TRUST 4150 11172041 1360,1342000.00,PENDING_AI,PENDING_AI
20 TSQ GROUNDCO LLC 3100 5152035 1400,1271000.00,PENDING_AI,PENDING_AI
AMERICREDIT AUTOMOBILE RECEIVA 5380 6182029 1170,1190000.00,PENDING_AI,PENDING_AI
