ack_id,plan_name_clean,sponsor_name,amt_mutual_funds,staged_total,gap_amt,gap_pct
20250722173822NAL0003117713001,"THE 401(K) STOCK PURCHASE PLAN FOR EMPLOYEES OF CULLEN/FROST BANKERS, INC. AND ITS AFFILIATES","CULLEN/FROST BANKERS, INC.",756344121.00,0.00,756344121.00,100.00
20251008150636NAL0003098595001,ARDAGH NORTH AMERICA 401(K) PLAN AND ARDAGH NORTH AMERICA BARGAINING 401(K) PLAN MASTER TRUST,ARDAGH GLASS INC.,753853357.00,0.00,753853357.00,100.00
20251008100137NAL0005671169001,SPARROW HEALTH SYSTEM ASSOCIATE RETIREMENT SAVINGS PLAN,SPARROW HEALTH SYSTEM,753506227.00,0.00,753506227.00,100.00
20251013123536NAL0000607763001,REED SMITH 401(K) PLAN,REED SMITH LLP,753158004.00,0.00,753158004.00,100.00
20250924102650NAL0007414865001,H LEE MOFFITT CANCER CENTER AND RESEARCH INST 403(B) RETIRE PLAN,H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE,738176974.00,0.00,738176974.00,100.00
20260717082944NAL0005457985001,SOUTHSTATE BANK 401(K) RETIREMENT SAVINGS PLAN,"SOUTHSTATE BANK, N.A.",737594951.00,0.00,737594951.00,100.00
20260708123754NAL0020058769002,"BRANDEIS UNIVERSITY DEFINED CONTRIBUTION PLAN FOR FACULTY, PROFESSIONAL, AND ADMINISTRATIVE EMPLOYEES",BRANDEIS UNIVERSITY,734379169.00,0.00,734379169.00,100.00
20251012152637NAL0000108515001,IDAHO POWER COMPANY EMPLOYEE SAVINGS PLAN,IDAHO POWER GROUP VOLUNTARY ACCIDENTAL DEATH & DISMEMBERMENT INS,733238265.00,0.00,733238265.00,100.00
20250729115442NAL0007362866001,"PAYCHEX, INC. 401(K) INCENTIVE RETIREMENT PLAN","PAYCHEX, INC.",731101369.00,0.00,731101369.00,100.00
20251009130305NAL0006620385001,THRIVENT FINANCIAL DEFINED CONTRIBUTION PLAN TRUST,THRIVENT FINANCIAL FOR LUTHERANS,723611728.00,0.00,723611728.00,100.00
20251008142618NAL0009960640001,GERDAU AMERISTEEL US SAV & US 401(K) PLANS MASTER TRUST,GERDAU AMERISTEEL US INC.,722368769.00,0.00,722368769.00,100.00
20260820103328NAL0024021154002,UPS/IPA DEFINED CONTRIBUTION MONEY PURCHASE PENSION PLAN,UNITED PARCEL SERVICE COMPANY,722315724.00,0.00,722315724.00,100.00
20251014223322NAL0005023664002,"PREMIER HEALTHCARE SOLUTIONS, INC. MASTER TRUST","PREMIER, INC.",721223742.00,0.00,721223742.00,100.00
20260709065957NAL0017766435001,BAE SYSTEMS EMPLOYEES' SAVINGS AND INVESTMENT PLAN,"BAE SYSTEMS, INC.",720198036.00,0.00,720198036.00,100.00
20251013125336NAL0001342481001,D. E. SHAW & CO. 401(K) PLAN,"D. E. SHAW & CO., L.P.",718162120.00,0.00,718162120.00,100.00
20251015200323NAL0011333682001,PILLSBURY WINTHROP SHAW PITTMAN LLP RETIREMENT SAVINGS PLANS NO. 1 AND NO. 2 MASTER TRUST,PILLSBURY WINTHROP SHAW PITTMAN LLP,714972740.00,0.00,714972740.00,100.00
20251013163438NAL0001604737001,WESTERN DIGITAL CORPORATION 401(K) PLAN,WESTERN DIGITAL CORPORATION,708141300.00,0.00,708141300.00,100.00
20260611175353NAL0005489521001,"SKYWEST, INC. EMPLOYEES' RETIREMENT PLAN","SKYWEST, INC",703887501.00,0.00,703887501.00,100.00
20251015152739NAL0002550787001,PHILIPS NORTH AMERICA 401(K) PLAN,PHILIPS NORTH AMERICA LLC,700539052.00,0.00,700539052.00,100.00
20260311122857NAL0005285104001,PAUL HASTINGS LLP DEFINED CONTRIBUTION RETIREMENT PLAN,PAUL HASTINGS LLP,700203500.00,80036.39,700123463.61,100.00
20260701132143NAL0017530832001,PIPER SANDLER COMPANIES RETIREMENT PLAN,PIPER SANDLER COMPANY,698401318.00,0.00,698401318.00,100.00
20260713121218NAL0000164609001,OPPENHEIMER & CO. INC. 401(K) PLAN,OPPENHEIMER & CO. INC.,698086685.00,0.00,698086685.00,100.00
20251014215223NAL0003643521001,COVENANT HEALTH 401(K) PLAN,COVENANT HEALTH,697063893.00,0.00,697063893.00,100.00
20250902150819NAL0014415937001,FOX SAVINGS PLAN,FOX CORPORATION,734636346.00,37897529.00,696738817.00,95.00
20251006121350NAL0002046403001,MIDMICHIGAN HEALTH 403B SAVINGS PLAN,MYMICHIGAN HEALTH,694788555.00,0.00,694788555.00,100.00
20251013182017NAL0000895075001,JONES DAY DEFINED CONTRIBUTION MASTER TRUST,JONES DAY,850213781.00,156018850.00,694194931.00,82.00
20260715205503NAL0004902306001,CBRE 401(K) PLAN,"CBRE SERVICES, INC.",693225284.00,0.00,693225284.00,100.00
20251015002143NAL0005055008001,SYNGENTA CORPORATION INVESTMENT SAVINGS PLAN,SYNGENTA CORPORATION,691714411.00,0.00,691714411.00,100.00
20250905145108NAL0035822066001,RITE AID MASTER RETIREMENT SAVINGS TRUST,RITE AID CORPORATION,691343242.00,0.00,691343242.00,100.00
20251013161934NAL0000824499001,DLA PIPER LLP (US) PROFIT SHARING AND 401(K) SAVINGS PLAN,DLA PIPER LLP (US),691208663.00,0.00,691208663.00,100.00
20260722133255NAL0012707505001,MAYO RETIREMENT SAVINGS PLAN,MAYO HOLDING COMPANY,691179003.00,0.00,691179003.00,100.00
20251001134426NAL0017873779001,BESSEMER TRUST COMPANY 401K AND PROFIT SHARING PLAN,BESSEMER TRUST COMPANY,690612435.00,0.00,690612435.00,100.00
20251009142304NAL0015771650001,"YARDI SYSTEMS, INC. 401(K) PROFIT SHARING PLAN","YARDI SYSTEMS, INC.",688576925.00,0.00,688576925.00,100.00
20251014083111NAL0005096018001,AMERICAN GREETINGS RETIREMENT SAVINGS PLAN,AMERICAN GREETINGS CORPORATION,683143783.00,0.00,683143783.00,100.00
20260714094357NAL0001304897001,MSC INDUSTRIAL DIRECT 401(K) PLAN,"MSC INDUSTRIAL DIRECT CO., INC.",677271672.00,0.00,677271672.00,100.00
20251203164255NAL0000894369001,EBSCO SAVINGS AND PROFIT SHARING PLAN,EBSCO INDUSTRIES INC,676215088.00,0.00,676215088.00,100.00
20251010143953NAL0007887665002,MEIJER 401K RETIREMENT PLAN MASTER TRUST,"MEIJER, INC.",674128222.00,0.00,674128222.00,100.00
20260720075830NAL0012164464001,"JANE STREET GROUP, LLC 401(K) PLAN","JANE STREET GROUP, LLC",673049737.00,0.00,673049737.00,100.00
20260715095209NAL0003478240001,KRAMER LEVIN NAFTALIS & FRANKEL MASTER TRUST,HERBERT SMITH FREEHILLS KRAMER (US) LLP,670320323.00,0.00,670320323.00,100.00
20251013192643NAL0000914131004,MARQUETTE UNIVERSITY RETIREMENT PLAN,MARQUETTE UNIVERSITY,669759866.00,0.00,669759866.00,100.00
20250924125920NAL0008172096001,"COMMERCE BANCSHARES, INC. PARTICIPATING INVESTMENT PLAN","COMMERCE BANCSHARES, INC.",662501286.00,0.00,662501286.00,100.00
20251013200651NAL0002687120001,SRI INTERNATIONAL RETIREMENT SAVINGS PLAN,SRI INTERNATIONAL,658568569.00,0.00,658568569.00,100.00
20260611104220NAL0005774259001,ALTRIA CLIENT SERVICES MASTER TRUST FOR DEFERRED PROFIT-SHARING PLANS,ALTRIA CLIENT SERVICES LLC,651804147.00,0.00,651804147.00,100.00
20251015105721NAL0005859936001,STEAMFITTERS' INDUSTRY SUPPLEMENTAL RETIREMENT FUND,BOARD OF TRUSTEES STEAMFITTERS' INDUSTRY SUPPLEMENTAL RETIREMENT,650763502.00,0.00,650763502.00,100.00
20250722090944NAL0001077811001,"PULTEGROUP, INC. 401(K) PLAN","PULTEGROUP, INC.",650545283.00,0.00,650545283.00,100.00
20251014153055NAL0003290785001,ICF RETIREMENT SAVINGS PLAN,"ICF CONSULTING GROUP, INC",867122577.00,219783664.00,647338913.00,75.00
20260629150942NAL0011863169002,"THE MASTEC, INC. 401K RETIREMENT PLAN","MASTEC, INC.",646060325.00,0.00,646060325.00,100.00
20251014153723NAL0006621026001,TRINET 401(K) PLAN,"TRINET HR III, INC.",642903775.00,0.00,642903775.00,100.00
20251006152958NAL0006860512001,WINTRUST FINANCIAL CORPORATION RETIREMENT SAVINGS PLAN,WINTRUST FINANCIAL CORPORATON,638188961.00,0.00,638188961.00,100.00
20251008115940NAL0003254387015,ENDURANCE 401K PLAN,ENDURANCE U.S. HOLDINGS CORPORATION,636614168.00,0.00,636614168.00,100.00
20251015140444NAL0009624962001,PRYSMIAN GROUP 401(K) PLAN,"PRYSMIAN CABLES AND SYS. USA, LLC",635782154.00,0.00,635782154.00,100.00
20260709202506NAL0000633267001,PENSION TRUST FUND FOR OPERATING ENGINEERS ANNUITY PLAN,"BOARD OF TRUSTEES, PENSION TRUST FUND FOR OPERATING",634765437.00,0.00,634765437.00,100.00
20251015102646NAL0009069074001,"FIRST NATIONAL OF NEBRASKA, INC. FIRST SAVINGS PLAN","FIRST NATIONAL OF NEBRASKA, INC.",634700910.00,0.00,634700910.00,100.00
20251007180456NAL0002638691001,"PARKVIEW HEALTH SYSTEM, INC. RETIREMENT SAVINGS PLAN","PARKVIEW HEALTH SYSTEM, INC.",632499845.00,0.00,632499845.00,100.00
20250908140740NAL0032566656001,AMERICAN MARITIME OFFICERS 401K PLAN,BOARD OF TRUSTEES AMERICAN MARITIME OFFICERS 401K PLAN,630310011.00,0.00,630310011.00,100.00
20250729142705NAL0002940417001,BAYLOR SCOTT & WHITE HEALTH 403(B) SAVINGS PLAN,BAYLOR SCOTT & WHITE HOLDINGS,628241008.00,0.00,628241008.00,100.00
20251009164133NAL0004106691001,R1 RCM HOLDCO INC. 401(K) PLAN,R1 RCM HOLDCO INC.,626346217.00,0.00,626346217.00,100.00
20260715172557NAL0003390737001,ARAMARK MASTER TRUST,ARAMARK MASTER TRUST,624467351.00,0.00,624467351.00,100.00
20251015134100NAL0002505795001,FREEMAN 401(K) PLAN,FREEMAN DECORATING CO.,621558833.00,0.00,621558833.00,100.00
20251014180612NAL0007091666001,SHARP HEALTHCARE 403(B) TAX DEFERRED RETIREMENT PLAN,SHARP HEALTHCARE,620981167.00,0.00,620981167.00,100.00
20251007150830NAL0002566323001,WAKE FOREST UNIVERSITY RETIREMENT PLAN,WAKE FOREST UNIVERSITY,710830429.00,90091863.00,620738566.00,87.00
20251009153903NAL0011780112001,AMICA 401(K) RETIREMENT SAVINGS PLAN,AMICA MUTUAL INSURANCE COMPANY,617111395.00,0.00,617111395.00,100.00
20251010153535NAL0004377779003,AMWAY RETIREMENT SAVINGS PLAN,"ALTICOR, INC.",859938605.00,243251067.00,616687538.00,72.00
20260415113951NAL0026142176004,TULANE UNIVERSITY FACULTY AND ADMINISTRATIVE 403(B) RETIREMENT PLAN,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,614336274.00,0.00,614336274.00,100.00
20251015103156NAL0002248819001,"FIDELITY NATIONAL INFORMATION SERVICES, INC. 401(K) PROFIT SHARING PLAN","FIDELITY NATIONAL INFORMATION SERVICES, INC.",614054601.00,0.00,614054601.00,100.00
20260415164121NAL0020128513001,BALLAD HEALTH 403(B) PLAN,BALLAD HEALTH,654419864.00,40407353.00,614012511.00,94.00
20250818103424NAL0000581731001,REPUBLIC NATIONAL 401(K) PLAN,REPUBLIC NATIONAL DISTRIBUTING COMPANY,612770168.00,0.00,612770168.00,100.00
20251014180528NAL0004742384001,OVERLAKE HOSPITAL MEDICAL CENTER 403(B)RETIREMENT PLAN,OVERLAKE HOSPITAL MEDICAL CENTER,612031930.00,0.00,612031930.00,100.00
20260723165543NAL0014354289001,COSTCO 401K RETIREMENT PLAN,COSTCO WHOLESALE CORPORATION,610665032.00,0.00,610665032.00,100.00
20260626121351NAL0008400323001,SIMPLOT RETIREMENT SAVINGS PLAN,J.R. SIMPLOT COMPANY,607229303.00,0.00,607229303.00,100.00
20250819144359NAL0002416097001,JBS 401(K) SAVINGS PLAN,JBS USA FOOD COMPANY HOLDINGS,597294453.00,0.00,597294453.00,100.00
20251014153916NAL0006697154001,TRINET SELECT 401(K) PLAN,"TRINET HR IV, LLC",596867775.00,0.00,596867775.00,100.00
20251002121616NAL0000705024001,CHILDREN'S RETIREMENT INCOME BENEFIT PLAN,CHILDREN'S HOSPITAL MEDICAL CENTER OF AKRON,596655291.00,0.00,596655291.00,100.00
20251015152045NAL0006589984001,PRISMA HEALTH 401(A) PLAN,PRISMA HEALTH,592067935.00,0.00,592067935.00,100.00
20260625103432NAL0014768962001,GLOBAL PAYMENTS INC. 401(K) PLAN,GLOBAL PAYMENTS INC.,591933379.00,0.00,591933379.00,100.00
20251009165106NAL0006921921001,TE CONNECTIVITY RETIREMENT SAVINGS AND INVESTMENT PLAN,TE CONNECTIVITY CORPORATION,591930116.00,0.00,591930116.00,100.00
20251012112215NAL0000656306001,BJC 401(K) PLAN,BJC HEALTH SYSTEM DBA BJC HEALTHCARE,589426955.00,0.00,589426955.00,100.00
20251015114353NAL0004749329001,ANHEUSER-BUSCH 401(K) SAVINGS AND RETIREMENT PLAN,"ANHEUSER-BUSCH COMPANIES, LLC",586605000.00,0.00,586605000.00,100.00
20251015114357NAL0004749553001,HUNTINGTON MEMORIAL HOSPITAL SAVINGS PLAN,HUNTINGTON HEALTH,586103305.00,0.00,586103305.00,100.00
20251008111657NAL0002952435001,SAINT LOUIS UNIVERSITY 403(B) ANNUITY PLAN,SAINT LOUIS UNIVERSITY,746673023.00,160852802.00,585820221.00,78.00
20260714090302NAL0000886083001,STORMONT-VAIL HEALTHCARE EMPLOYEE 403(B) PLAN,STORMONT-VAIL HEALTHCARE INC,584717559.00,0.00,584717559.00,100.00
20260304063759NAL0002780721001,MID-AMERICA CARPENTERS REGIONAL COUNCIL SUPPLEMENTAL RETIREMENT PLAN,Mid-America Carpenters Regional Council,583898487.00,0.00,583898487.00,100.00
20260626152158NAL0009769009001,EAST WEST BANK EMPLOYEES 401(K) SAVINGS PLAN,EAST WEST BANK,583812852.00,0.00,583812852.00,100.00
20260702121951NAL0017836400001,FULTON FINANCIAL CORPORATION 401(K) RETIREMENT PLAN,FULTON FINANCIAL CORPORATION,583479849.00,0.00,583479849.00,100.00
20250819172711NAL0002431009001,HOLMAN ENTERPRISES SUPPLEMENTAL RETIREMENT AND SAVINGS PLAN,"HOLMAN AUTOMOTIVE GROUP, INC.",576006549.00,0.00,576006549.00,100.00
20260707102140NAL0032317618001,"JOHNSON CONTROLS, INC. DEFINED CONTRIBUTION PLAN TRUST","JOHNSON CONTROLS, INC.",575376727.00,0.00,575376727.00,100.00
20260713081345NAL0002837667001,PBF ENERGY RETIREMENT SAVINGS PLAN,PBF HOLDING COMPANY LLC,573382592.00,0.00,573382592.00,100.00
20251015212022NAL0011283650001,HAWAIIAN ELECTRIC INDUSTRIES RETIREMENT SAVINGS PLAN AND AMERICAN SAVINGS BANK 401(K) PLAN MASTER TRUST,"HAWAIIAN ELECTRIC INDUSTRIES, INC.",571969239.00,0.00,571969239.00,100.00
20251007144206NAL0008336800001,GRAHAM HOLDINGS COMPANY MASTER TRUST,GRAHAM HOLDINGS COMPANY,569373225.00,0.00,569373225.00,100.00
20251010151750NAL0012879184001,ALBERTSONS COMPANIES MASTER TRUST,"ALBERTSONS COMPANIES, INC.",567731067.00,0.00,567731067.00,100.00
20260716103017NAL0004223745001,COLLEGE ENTRANCE EXAMINATION BOARD RETIREMENT PLAN,COLLEGE BOARD,567448308.00,0.00,567448308.00,100.00
20251010140654NAL0012748896001,NUCOR CORPORATION PROFIT SHARING AND RETIREMENT SAVINGS PLAN,NUCOR CORPORATION,565118602.00,0.00,565118602.00,100.00
20260415141735NAL0019944529001,ERGON 401(K) PLAN,"ERGON, INC",728169110.00,163920160.00,564248950.00,77.00
20251009091215NAL0003450099001,DEUTSCHE BANK MATCHED SAVINGS PLAN,DEUTSCHE BANK AMERICAS HOLDING CORPORATION,562590630.00,0.00,562590630.00,100.00
20251014081245NAL0005047922001,"GAF, LLC CAPITAL ACCUMULATION PLANS",GAF LLC,559447338.00,0.00,559447338.00,100.00
20251014103954NAL0001230627001,THE LAITRAM EMPLOYEES' INCENTIVE SAVINGS PLAN,LAITRAM L.L.C.,558646425.00,0.00,558646425.00,100.00
20251010161019NAL0007999377001,THE RAND CORPORATION 401(A) QUALIFIED RETIREMENT PLAN,THE RAND CORPORATION,555650576.00,0.00,555650576.00,100.00
20251010152024NAL0008385457003,L3HARRIS RETIREMENT SAVINGS PLAN MASTER TRUST,"L3HARRIS TECHNOLOGIES, INC.",554361626.00,0.00,554361626.00,100.00
20260612140751NAL0007052785001,RPM INTERNATIONAL INC. 401(K) TRUST AND PLAN,RPM INTERNATIONAL INC.,548690162.00,0.00,548690162.00,100.00
20251015131746NAL0002351971001,EASTMAN KODAK EMPLOYEES' SAVINGS AND INVESTMENT PLAN,EASTMAN KODAK COMPANY,547226587.00,0.00,547226587.00,100.00
20260710133622NAL0001461489001,HP INC. MASTER TRUST,HP INC.,545452990.00,0.00,545452990.00,100.00
20251014135414NAL0001494627001,USI 401(K) PLAN,"USI INSURANCE SERVICES, LLC",543986510.00,0.00,543986510.00,100.00
20260702112746NAL0014451521001,CONSOLIDATED 401(A) AND 401(K) PROGRAM OF MASS GENERAL BRIGHAM AND MEMBER ORGANIZATIONS,MASS GENERAL BRIGHAM INCORPORATED,539103538.00,0.00,539103538.00,100.00
20251010135440NAL0008260289001,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL UNIONS SAVINGS & SECURITY PLAN,BOARD OF DIRECTORS OF THE IBEW LOCALS' SAVING & RETIREMENT GROUP TRUST,535748989.00,0.00,535748989.00,100.00
20251014195131NAL0003665441001,WILLIAM MARSH RICE UNIVERSITY SUPPLEMENTAL 403(B) PLAN,WILLIAM MARSH RICE UNIVERSITY,646170707.00,110992854.00,535177853.00,83.00
20250917150227NAL0000798274001,"ALLIANCE COAL, LLC AND AFFILIATES PROFIT SHARING AND SAVINGS PLAN",,534352482.00,0.00,534352482.00,100.00
20260724164500NAL0012866675001,"THE COOPER COMPANIES, INC. 401(K) SAVINGS PLAN","THE COOPER COMPANIES, INC.",533443507.00,0.00,533443507.00,100.00
20251014131813NAL0001446115001,WORCESTER POLYTECHNIC INSTITUTE DEFINED CONTRIBUTION PLAN,WORCESTER POLYTECHNIC INSTITUTE,531842885.00,0.00,531842885.00,100.00
20260429150349NAL0016924928001,D.A. DAVIDSON COMPANIES RETIREMENT SAVINGS AND PROFIT SHARING PLAN,D.A. DAVIDSON COMPANIES,531802140.00,0.00,531802140.00,100.00
20251210095920NAL0005401200001,KOHLS CORPORATION MASTER TRUST,"KOHL&#x27;S, INC.",638177900.00,109003345.63,529174554.37,83.00
20260720202201NAL0014815826001,C&S AND AFFILIATES 401(K) SAVINGS PLAN (A),"C&S WHOLESALE GROCERS, INC.",526396537.00,0.00,526396537.00,100.00
20251014181836NAL0003550881001,PRECISION CASTPARTS CORP. 401(K) RETIREMENT SAVINGS PLAN,PRECISION CASTPARTS CORP.,520815955.00,0.00,520815955.00,100.00
20250715133413NAL0002153377001,ZETA ASSOCIATES INCORPORATED SAVINGS PLAN,ZETA ASSOCIATES INCORPORATED,519955897.00,0.00,519955897.00,100.00
20250924163309NAL0009470227001,U-HAUL HOLDING COMPANY 401(K) SAVINGS PLAN,U-HAUL HOLDING COMPANY,519785167.00,0.00,519785167.00,100.00
20251015174451NAL0005561537001,THE SHERWIN-WILLIAMS COMPANY 401(K) PLAN,THE SHERWIN-WILLIAMS COMPANY,518643717.00,0.00,518643717.00,100.00
20251014182555NAL0004708736001,MASTERS MATES & PILOTS INDIVIDUAL RETIREMENT ACCOUNT PLAN,BOARD OF TRUSTEES OF M.M.&P. INDIVIDUAL RETIREMENT ACCOUNT PLAN,516514742.00,0.00,516514742.00,100.00
20251008104801NAL0003206595001,"MKS INSTRUMENTS, INC. PROFIT SHARING & 401(K) PLAN","MKS INSTRUMENTS, INC.",516484520.00,0.00,516484520.00,100.00
20251015095009NAL0005710368001,CSC 401K PLAN,CORPORATION SERVICE COMPANY,516424394.00,0.00,516424394.00,100.00
20251008183843NAL0003206211001,BCLP LLP US RETIREMENT PLAN,BRYAN CAVE LEIGHTON PAISNER US LLP,512953218.00,0.00,512953218.00,100.00
20251010174635NAL0008068865001,"IHEART MEDIA, INC. MASTER TRUST","IHEART COMMUNICATIONS, INC.",511792458.00,0.00,511792458.00,100.00
20251015115143NAL0002357843003,IRON WORKERS DISTRICT COUNCIL OF NEW ENGLAND ANNUITY FUND,BOARD OF TRUSTEES IRON WORKERS,510448501.00,0.00,510448501.00,100.00
20260715093041NAL0002764289001,PENN STATE HEALTH TAX SHELTERED ANNUITY PROGRAM,PENN STATE HEALTH,508892341.00,0.00,508892341.00,100.00
20251013172923NAL0003826178001,APACHE CORPORATION 401(K) SAVINGS PLAN,APACHE CORPORATION,506721089.00,0.00,506721089.00,100.00
20251013103918NAL0000490099001,CABOT 401(K) PLAN,CABOT CORPORATION,506445493.00,0.00,506445493.00,100.00
20251013160906NAL0001686737001,THE CHRIST HOSPITAL 403(B) RETIREMENT SAVINGS PLAN,THE CHRIST HOSPITAL,501941230.00,0.00,501941230.00,100.00
20260819103704NAL0018540401001,THE MIDDLEBURY COLLEGE CORE RETIREMENT PLAN,PRESIDENT & FELLOWS OF MIDDLEBURY COLLEGE,500376840.00,0.00,500376840.00,100.00
20251113130733NAL0001076643001,"ADVANCED DRAINAGE SYSTEMS, INC. RETIREMENT AND STOCK OWNERSHIP PLAN","ADVANCED DRAINAGE SYSTEMS, INC.",499795410.00,0.00,499795410.00,100.00
20260717152833NAL0006376609001,"JACK HENRY & ASSOCIATES, INC 401K RETIREMENT SAVINGS PLAN",JACK HENRY & ASSOCIATES INC,499702966.00,0.00,499702966.00,100.00
20251009112129NAL0006505377001,VERTIV GROUP CORPORATION EMPLOYEE RETIREMENT SAVINGS PLAN,VERTIV GROUP CORPORATION,498676845.00,0.00,498676845.00,100.00
20251014191045NAL0003546721001,WILLIAM MARSH RICE UNIVERSITY DEFINED CONTRIBUTION RETIREMENT PLAN,WILLIAM MARSH RICE UNIVERSITY,497181192.00,0.00,497181192.00,100.00
20251014222728NAL0007523202001,UNIVERSITY OF SOUTHERN CALIFORNIA DEFINED CONTRIBUTION RETIREMENT PLAN,UNIVERSITY OF SOUTHERN CALIFORNIA,4311839841.00,3816549787.00,495290054.00,11.00
20251008112012NAL0003228371001,SAINT LOUIS UNIVERSITY RETIREMENT PLAN,SAINT LOUIS UNIVERSITY,493913092.00,302488.00,493610604.00,100.00
20260722170929NAL0012567377001,PREMISE HEALTH 401(K) PLAN,PREMISE HEALTH,487757748.00,0.00,487757748.00,100.00
20260622163704NAL0006526769001,HP INC. 401(K) PLAN,HP INC.,494489776.00,13097347.00,481392429.00,97.00
20251114144752NAL0001553859001,COHNREZNICK LLC 401(K) PROFIT SHARING PLAN,COHNREZNICK LLP,479883836.00,0.00,479883836.00,100.00
20260805113136NAL0002463537001,CITY OF HOPE NATIONAL MEDICAL CENTER DEFINED CONTRIBUTION RETIREMENT PLAN,CITY OF HOPE,479379711.00,0.00,479379711.00,100.00
20260331125608NAL0000132467001,THE PEARSON RETIREMENT PLAN 401(K),"PEARSON EDUCATION, INC.",478910157.00,0.00,478910157.00,100.00
20250925073913NAL0009500784001,"H. LEE MOFFITT CANCER CENTER & RESEARCH INST, INC. RETIRE PLAN",H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE,476975443.00,0.00,476975443.00,100.00
20251002150526NAL0001012368001,CAPITAL BLUE CROSS EMPLOYEE SAVINGS PLAN,CAPITAL BLUE CROSS,476423566.00,0.00,476423566.00,100.00
20251014100503NAL0003573408001,ARAMCO U.S. SAVINGS PLAN,ARAMCO SHARED BENEFITS COMPANY,1252030000.00,777407000.00,474623000.00,38.00
20251002095334NAL0000278065001,BALL CORPORATION MASTER PENSION TRUST,BALL CORPORATION,472771799.00,0.00,472771799.00,100.00
20251015085840NAL0008430882001,ARVEST BANK 401K & PROFIT SHARING RETIREMENT PLAN,ARVEST BANK,472704987.00,0.00,472704987.00,100.00
20251010160314NAL0019037938001,THE RAND CORPORATION 403(B) SAVINGS PLAN,THE RAND CORPORATION,532684666.00,62132975.00,470551691.00,88.00
20251015115507NAL0004463233001,JEFFERSON UNIVERSITY PHYSICIANS RETIREMENT PLAN,JEFFERSON UNIVERSITY PHYSICIANS,469299105.00,0.00,469299105.00,100.00
20260713144752NAL0000253155001,"MORGAN, LEWIS AND BOCKIUS LLP MASTER TRUST",MORGAN LEWIS & BOCKIUS LLP,469156144.00,0.00,469156144.00,100.00
20251013072056NAL0001448288001,HONDA 401(K) SAVINGS PLAN,"AMERICAN HONDA MOTOR COMPANY, INC.",469133943.00,0.00,469133943.00,100.00
20251006075329NAL0001717155001,"HOLOGIC, INC. SAVINGS AND INVESTMENT PLAN","HOLOGIC, INC.",469113658.00,0.00,469113658.00,100.00
20250915135311NAL0001435840001,NETFLIX 401(K) PLAN,"NETFLIX, INC.",469098051.00,0.00,469098051.00,100.00
20250917124745NAL0000550592001,OMNICOM GROUP RETIREMENT SAVINGS PLAN,OMNICOM GROUP INC.,468094524.00,0.00,468094524.00,100.00
20260630121545NAL0012792065001,ASSURANT 401(K) PLAN,"ASSURANT, INC.",467533310.00,0.00,467533310.00,100.00
20250909091151NAL0012796051001,"WOLFSPEED, INC. 401(K) PLAN","WOLFSPEED, INC.",467102980.00,0.00,467102980.00,100.00
20251007131640NAL0007964752001,NAVIENT 401(K) SAVINGS PLAN,NAVIENT CORPORATION,466958212.00,0.00,466958212.00,100.00
20251002143859NAL0000370131001,BANNER HEALTH EMPLOYEES 401(K) PLAN,BANNER HEALTH,466110155.00,0.00,466110155.00,100.00
20251013142836NAL0001422321003,NOVA SOUTHEASTERN UNIVERSITY 401(K) PLAN,NOVA SOUTHEASTERN UNIVERSITY,465283711.00,0.00,465283711.00,100.00
20251013150339NAL0000749731001,BJC 403(B) PLAN,BJC HEALTH SYSTEM DBA BJC HEALTHCARE,464362167.00,0.00,464362167.00,100.00
20251010090833NAL0004088947001,"THE BROAD INSTITUTE, INC. 401(K) RETIREMENT PLAN","THE BROAD INSTITUTE, INC.",464144761.00,0.00,464144761.00,100.00
20250922105540NAL0005111745001,"ONEOK, INC. 401(K) PLAN","ONEOK, INC.",463380000.00,0.00,463380000.00,100.00
20260722091700NAL0009275523001,MUNICH RE U.S. SAVINGS PLAN,"MUNICH REINSURANCE AMERICA, INC",462336416.00,0.00,462336416.00,100.00
20260625090841NAL0014633090001,"ZS ASSOCIATES, INC. 401(K) PROFIT SHARING PLAN","ZS ASSOCIATES, INC.",461873084.00,0.00,461873084.00,100.00
20260701151850NAL0014019985001,BABSON COLLEGE RETIREMENT PLAN,BABSON COLLEGE,460032483.00,0.00,460032483.00,100.00
20251013164803NAL0001619809001,"CHARTER COMMUNICATIONS, INC. DEFINED CONTRIBUTION PLANS MASTER TRUST","CHARTER COMMUNICATIONS, INC.",459906297.00,0.00,459906297.00,100.00
20251015094324NAL0002095715001,DAVIS POLK & WARDWELL MASTER TRUST,DAVIS POLK & WARDWELL LLP,458122692.00,0.00,458122692.00,100.00
20251027143530NAL0005871121001,FISH & RICHARDSON PROFIT SHARING - 401(K) PLAN,FISH & RICHARDSON P.C.,560522139.00,105675596.00,454846543.00,81.00
20250908102947NAL0041330722001,PRINCETON UNIVERSITY RETIREMENT SAVINGS PLAN,TRUSTEE'S OF PRINCETON UNIVERSITY,1392497480.00,938573657.00,453923823.00,33.00
