sponsor_ein,plan_number,plan_year,sponsor,plan_name,sponsor_plan_key,issuer_name,investment_description,asset_type,morningstar_ticker,par_value,cost,current_value,units_or_shares,page_number,row_id,confidence
,001,2024,,Fidelity401K 5500,,,13D ACTIVIST FUND CLA,Mutual Fund,,,,362,,31,2,
,001,2024,,Fidelity401K 5500,,,13D ACTIVIST FUNDCL I,Mutual Fund,,,,"2,543",,31,3,
,001,2024,,Fidelity401K 5500,,,AB LARGE CAP GROWTHCLASS A,Other,,,,"41,416",,31,4,
,001,2024,,Fidelity401K 5500,,,AB LARGE CAPGROWTH CL C,Other,,,,21,,31,5,
,001,2024,,Fidelity401K 5500,,,AB SMALL CAP GROWTHPORT CLASS A,Other,,,,"5,428",,31,6,
,001,2024,,Fidelity401K 5500,,,ABBEY CAPITAL MULTIASSET FUND CLASS I,Mutual Fund,,,,"5,183",,31,7,
,001,2024,,Fidelity401K 5500,,,ABERDEEN CHINA ASHARE EQ INSTL SVC,Other,,,,"23,881",,31,8,
,001,2024,,Fidelity401K 5500,,,ABERDEEN CHINA ASHARE EQUITY CL A,Other,,,,"30,281",,31,9,
,001,2024,,Fidelity401K 5500,,,ABERDEEN DYNAMICDIVIDEND CL A,Other,,,,"7,579",,31,10,
,001,2024,,Fidelity401K 5500,,,ABERDEEN EMERGINGMARKETS FD INSTL CL,Other,,,,"1,859",,31,11,
,001,2024,,Fidelity401K 5500,,,ABERDEEN EMERGINGMRKTS FD INSTL SV CL,Other,,,,"2,872",,31,12,
,001,2024,,Fidelity401K 5500,,,ABERDEEN GLOBALINFRASTRUCTURE INSTL,Other,,,,"3,540",,31,13,
,001,2024,,Fidelity401K 5500,,,ABERDEEN U.S. SMALLCAP EQUITY FD CL A,Other,,,,"15,908",,31,14,
,001,2024,,Fidelity401K 5500,,,ABERDEEN US SUSTAINLEADERS FUND CL A,Mutual Fund,,,,"1,108",,31,15,
,001,2024,,Fidelity401K 5500,,,ABR DYNAMIC BLEND EQ& VOLATILITY INVST,Other,,,,"10,728",,31,16,
,001,2024,,Fidelity401K 5500,,,ACADIAN EMERGINGMARKETS PORT INVSTR,Other,,,,"11,494",,31,17,
,001,2024,,Fidelity401K 5500,,,ADV PREFERRED GOLDBULLION STRAT INV,Other,,,,"523,317",,31,18,
,001,2024,,Fidelity401K 5500,,,ADVISORS PREFERREDQUANTIFIED STF INVST,Other,,,,"40,850",,31,19,
,001,2024,,Fidelity401K 5500,,,ADVISORS PREFERREDSPECTRUM LOW VOL INV,Other,,,,"2,498",,31,20,
,001,2024,,Fidelity401K 5500,,,AEGIS VALUE FUND INC,Mutual Fund,,,,"46,150",,31,21,
,001,2024,,Fidelity401K 5500,,,AKRE FOCUS FUNDINSTL,Mutual Fund,,,,"401,525",,31,22,
,001,2024,,Fidelity401K 5500,,,AKRE FOCUS FUNDRETAIL,Mutual Fund,,,,"1,113,191",,31,23,
,001,2024,,Fidelity401K 5500,,,ALGER DYNAMICOPPORTUNITIES CL A,Other,,,,275,,31,24,
,001,2024,,Fidelity401K 5500,,,ALGER GROWTH&INCOMECLASS A,Other,,,,642,,31,25,
,001,2024,,Fidelity401K 5500,,,ALGER HEALTHSCIENCES FD CL A,Other,,,,"17,750",,31,26,
,001,2024,,Fidelity401K 5500,,,ALGER RESPONSIBLEINVESTING FUND CL A,Mutual Fund,,,,"14,335",,31,27,
,001,2024,,Fidelity401K 5500,,,ALGER SMALL CAPFOCUS CLASS A,Other,,,,"71,559",,31,28,
,001,2024,,Fidelity401K 5500,,,ALGER SMALL CAPFOCUS CLASS Z,Other,,,,"1,032",,31,29,
,001,2024,,Fidelity401K 5500,,,ALGER SMALL CAPGROWTH CL Z,Other,,,,"67,726",,31,30,
,001,2024,,Fidelity401K 5500,,,ALGER SPECTRA CL Z,Other,,,,"125,736",,31,31,
,001,2024,,Fidelity401K 5500,,,ALLSPRING CORE PLUSBOND FUND A,Corporate Bond,,,,"2,148",,31,32,
,001,2024,,Fidelity401K 5500,,,ALLSPRING CORE PLUSBOND FUND INST,Corporate Bond,,,,"4,086",,31,33,
,001,2024,,Fidelity401K 5500,,,ALLSPRING DIVRSFDCAP BUILDER FD A,Other,,,,"435,525",,31,34,
,001,2024,,Fidelity401K 5500,,,ALLSPRING DIVRSFDINCME BUILD FD A,Other,,,,"1,477",,31,35,
,001,2024,,Fidelity401K 5500,,,ALLSPRING INDEXFUND A,Mutual Fund,,,,"53,982",,31,36,
,001,2024,,Fidelity401K 5500,,,ALLSPRING PRECIOUSMETALS FUND A,Mutual Fund,,,,"823,268",,31,37,
,001,2024,,Fidelity401K 5500,,,ALLSPRING PRECIOUSMETALS FUND INST,Mutual Fund,,,,"68,563",,31,38,
,001,2024,,Fidelity401K 5500,,,ALLSPRING SHORT TERMBOND PLUS FD A,Corporate Bond,,,,"1,191",,31,39,
,001,2024,,Fidelity401K 5500,,,ALLSPRING SHORT TERMHIGH INCOME INSTL,Other,,,,"1,257",,31,40,
,001,2024,,Fidelity401K 5500,,,ALLSPRING SPECIALGLOBAL SMALL CAP C,Other,,,,"1,936",,31,41,
,001,2024,,Fidelity401K 5500,,,ALLSPRING SPECIALMID CAP VLUE FD A,Other,,,,"25,069",,31,42,
,001,2024,,Fidelity401K 5500,,,ALLSPRING SPECTRUMAGRSSIV GRTH FD INST,Other,,,,"1,628",,31,43,
,001,2024,,Fidelity401K 5500,,,ALLSPRING UTILITY &TELECOMMS FUND A,Mutual Fund,,,,"26,849",,31,44,
,001,2024,,Fidelity401K 5500,,,ALPHACENTRIC LIFESCIENCE & HLTHCARE I,Other,,,,"33,358",,31,45,
,001,2024,,Fidelity401K 5500,,,ALPHACENTRIC ROBOTICAND AUTOMATION I,Other,,,,"116,740",,31,46,
,001,2024,,Fidelity401K 5500,,,ALPS CORECOMM MGMTCOMP COMM STRT INV,Other,,,,"7,009",,31,47,
,001,2024,,Fidelity401K 5500,,,ALPS SMITH TOTALRETURN BOND CL I,Corporate Bond,,,,"73,358",,31,48,
,001,2024,,Fidelity401K 5500,,,ALPS/KOTAK INDIAESG FUND INVESTOR,Mutual Fund,,,,"15,401",,31,49,
,001,2024,,Fidelity401K 5500,,,AMANA DEVELOPINGWORLD FUND,Mutual Fund,,,,"12,851",,32,1,
,001,2024,,Fidelity401K 5500,,,AMANA DEVELOPINGWORLD INSTITUTIONAL,Other,,,,"18,329",,32,2,
,001,2024,,Fidelity401K 5500,,,AMANA GROWTH FUNDINSTITUTIONAL,Mutual Fund,,,,"44,837",,32,3,
,001,2024,,Fidelity401K 5500,,,AMANA INCOME FUNDINSTITUTIONAL,Mutual Fund,,,,"38,435",,32,4,
,001,2024,,Fidelity401K 5500,,,AMANA MUTUAL FUNDTRUST GROWTH,Mutual Fund,,,,"867,555",,32,5,
,001,2024,,Fidelity401K 5500,,,AMANA MUTUAL FUNDTRUST INCOME,Mutual Fund,,,,"192,239",,32,6,
,001,2024,,Fidelity401K 5500,,,AMANA PARTICIPATIONFD INSTITUTIONAL CL,Other,,,,"2,213",,32,7,
,001,2024,,Fidelity401K 5500,,,AMANA PARTICIPATIONFD INVESTOR CLASS,Other,,,,"605,351",,32,8,
,001,2024,,Fidelity401K 5500,,,AMCAP FUND F3,Mutual Fund,,,,"385,493",,32,9,
,001,2024,,Fidelity401K 5500,,,AMER BEACON SHAPIROSMID CAP EQ INV,Other,,,,"3,243",,32,10,
,001,2024,,Fidelity401K 5500,,,AMERICAN 2020 TARGETDATE RETIREMNT F1,Other,,,,115,,32,11,
,001,2024,,Fidelity401K 5500,,,AMERICAN 2035 TARGETDATE RETIREMNT F1,Other,,,,"157,061",,32,12,
,001,2024,,Fidelity401K 5500,,,AMERICAN 2040 TARGETDATE RETIREMNT F1,Other,,,,"13,052",,32,13,
,001,2024,,Fidelity401K 5500,,,AMERICAN 2050 TARGETDATE RETIREMNT F1,Other,,,,"4,505",,32,14,
,001,2024,,Fidelity401K 5500,,,AMERICAN 2055 TARGETDATE RETIREMNT F1,Other,,,,"6,235",,32,15,
,001,2024,,Fidelity401K 5500,,,AMERICAN AMCAP FUNDCLASS F1,Mutual Fund,,,,"58,956",,32,16,
,001,2024,,Fidelity401K 5500,,,AMERICAN AMCAPCLASS A,Other,,,,"21,173",,32,17,
,001,2024,,Fidelity401K 5500,,,AMERICAN BALANCEDCLASS A,Other,,,,"18,661",,32,18,
,001,2024,,Fidelity401K 5500,,,AMERICAN BALANCEDCLASS F1,Other,,,,"1,004,767",,32,19,
,001,2024,,Fidelity401K 5500,,,AMERICAN BALANCEDFUND F2,Mutual Fund,,,,"50,142",,32,20,
,001,2024,,Fidelity401K 5500,,,AMERICAN BEACON AHLMNGD FUTURES STRAT Y,Other,,,,"25,610",,32,21,
,001,2024,,Fidelity401K 5500,,,AMERICAN BEACON ARKTRANS INNOVTN INVSTR,Other,,,,"991,154",,32,22,
,001,2024,,Fidelity401K 5500,,,AMERICAN BEACON DEVWORLD INCOME INV,Other,,,,"7,454",,32,23,
,001,2024,,Fidelity401K 5500,,,AMERICAN BEACON FEACFLOATING RT INC INV,Other,,,,589,,32,24,
,001,2024,,Fidelity401K 5500,,,AMERICAN BEACON SIMHIGH YLD OPPS INVEST,Other,,,,"9,952",,32,25,
,001,2024,,Fidelity401K 5500,,,AMERICAN BEACON SSIALTERNATIVE INC INV,Other,,,,"10,802",,32,26,
,001,2024,,Fidelity401K 5500,,,AMERICAN BEACON THELONDON CO INC EQ INV,Other,,,,"1,026",,32,27,
,001,2024,,Fidelity401K 5500,,,AMERICAN BEACONBALANCED INVST,Other,,,,"28,474",,32,28,
,001,2024,,Fidelity401K 5500,,,AMERICAN BEACONSHAPIRO EQ OPPOR INV,Other,,,,348,,32,29,
,001,2024,,Fidelity401K 5500,,,AMERICAN BEACONTOCQUEVILLE INT VAL,Other,,,,"103,048",,32,30,
,001,2024,,Fidelity401K 5500,,,AMERICAN BOND FUNDOF AMERICA CLASS A,Corporate Bond,,,,"9,575",,32,31,
,001,2024,,Fidelity401K 5500,,,AMERICAN CAPITALINCOME BUILDER CL A,Other,,,,"12,230",,32,32,
,001,2024,,Fidelity401K 5500,,,AMERICAN CAPITALINCOME BUILDER CL F1,Other,,,,"11,935",,32,33,
,001,2024,,Fidelity401K 5500,,,AMERICAN CAPITALWORLD GRTH & INC A,Other,,,,"15,520",,32,34,
,001,2024,,Fidelity401K 5500,,,AMERICAN CAPITALWORLD GRWTH & INC F1,Other,,,,"51,819",,32,35,
,001,2024,,Fidelity401K 5500,,,AMERICAN CEN FOCUSEDDYNAMIC GROWTH INV,Other,,,,"278,281",,32,36,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURY MIDCAP VALUE INV SHS,Other,,,,"3,696",,32,37,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURY SHTDUR STRAT INC INV,Other,,,,"210,093",,32,38,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURY SMLCAP VAL CLASS I,Other,,,,"17,623",,32,39,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURYEMERGING MARKETS INV,Other,,,,"21,490",,32,40,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURYEQUITY INCOME INV CL,Other,,,,"66,300",,32,41,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURYGLOBAL GOLD CL A,Other,,,,"2,436",,32,42,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURYGLOBAL GOLD INV CL,Other,,,,"989,346",,32,43,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURYINFLN ADJ BOND INV,Corporate Bond,,,,"2,937",,32,44,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURYLARGE CAP EQUITY INV,Other,,,,"74,449",,32,45,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURYSELECT INVESTOR CL,Other,,,,77,,32,46,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURYSMALL CAP GRWTH INV,Other,,,,"28,920",,32,47,
,001,2024,,Fidelity401K 5500,,,AMERICAN CENTURYSMALL CAP VALUE INV,Other,,,,"205,135",,32,48,
,001,2024,,Fidelity401K 5500,,,AMERICAN CLASS EMERGMARKETS BOND F-1,Corporate Bond,,,,"60,520",,33,1,
,001,2024,,Fidelity401K 5500,,,AMERICAN CORPORATEBOND FUND CL F1,Corporate Bond,,,,"99,047",,33,2,
,001,2024,,Fidelity401K 5500,,,AMERICAN EUROPACIFICGROWTH CLASS A,Other,,,,"59,076",,33,3,
,001,2024,,Fidelity401K 5500,,,AMERICAN EUROPACIFICGROWTH CLASS F1,Other,,,,"15,580",,33,4,
,001,2024,,Fidelity401K 5500,,,AMERICAN EUROPACIFICGROWTH FUND CL F2,Mutual Fund,,,,"14,586",,33,5,
,001,2024,,Fidelity401K 5500,,,AMERICAN EUROPACIFICGROWTH FUND F3,Mutual Fund,,,,"291,234",,33,6,
,001,2024,,Fidelity401K 5500,,,AMERICAN FUNDAMENTALINVESTORS CL F1,Mutual Fund,,,,"146,726",,33,7,
,001,2024,,Fidelity401K 5500,,,AMERICAN FUNDAMENTALINVESTORS CLASS A,Mutual Fund,,,,"1,445",,33,8,
,001,2024,,Fidelity401K 5500,,,AMERICAN FUNDS 2035TARG DATE - R6,Mutual Fund,,,,"1,887",,33,9,
,001,2024,,Fidelity401K 5500,,,AMERICAN FUNDS CONVGRWTH & INCM PORT F1,Mutual Fund,,,,"131,375",,33,10,
,001,2024,,Fidelity401K 5500,,,AMERICAN FUNDS GRWTH& INC PORTFOLIO F1,Mutual Fund,,,,"9,580",,33,11,
,001,2024,,Fidelity401K 5500,,,AMERICAN FUNDS INFLTLINKED BOND CL F1,Corporate Bond,,,,944,,33,12,
,001,2024,,Fidelity401K 5500,,,AMERICAN FUNDS INFLTLINKED BOND CL F2,Corporate Bond,,,,"14,855",,33,13,
,001,2024,,Fidelity401K 5500,,,AMERICAN FUNDSGROWTH PORT F1,Mutual Fund,,,,"51,164",,33,14,
,001,2024,,Fidelity401K 5500,,,AMERICAN GROWTH FUNDOF AMERICA CL F2,Mutual Fund,,,,"122,268",,33,15,
,001,2024,,Fidelity401K 5500,,,AMERICAN GROWTH FUNDOF AMERICA CLASS A,Mutual Fund,,,,"29,902",,33,16,
,001,2024,,Fidelity401K 5500,,,AMERICAN GROWTH FUNDOF AMERICA CLASS F1,Mutual Fund,,,,903,,33,17,
,001,2024,,Fidelity401K 5500,,,AMERICAN HIGH INCOMECLASS F1,Other,,,,"184,672",,33,18,
,001,2024,,Fidelity401K 5500,,,AMERICAN HIGH INCOMETRUST CLASS A,Other,,,,"4,441",,33,19,
,001,2024,,Fidelity401K 5500,,,AMERICAN INCOME FUNDOF AMERICA CLASS A,Mutual Fund,,,,"13,475",,33,20,
,001,2024,,Fidelity401K 5500,,,AMERICAN INTERNATLGROWTH & INCOME CL A,Other,,,,"4,211",,33,21,
,001,2024,,Fidelity401K 5500,,,AMERICAN INVESTMENTCO OF AMERICA CL F1,Other,,,,"224,091",,33,22,
,001,2024,,Fidelity401K 5500,,,AMERICAN INVESTMNTCO OF AMERICA CL A,Other,,,,"108,010",,33,23,
,001,2024,,Fidelity401K 5500,,,AMERICAN MUTUAL FUNDCLASS A,Mutual Fund,,,,"1,092",,33,24,
,001,2024,,Fidelity401K 5500,,,AMERICAN MUTUAL FUNDCLASS F1,Mutual Fund,,,,"726,458",,33,25,
,001,2024,,Fidelity401K 5500,,,AMERICAN NEW WORLDCLASS F1,Other,,,,"196,479",,33,26,
,001,2024,,Fidelity401K 5500,,,AMERICAN NEW WORLDFUND CL F2,Mutual Fund,,,,"22,802",,33,27,
,001,2024,,Fidelity401K 5500,,,AMERICAN NEW WORLDFUND CLASS A,Mutual Fund,,,,"46,466",,33,28,
,001,2024,,Fidelity401K 5500,,,AMERICAN NEW WORLDFUND F3,Mutual Fund,,,,"5,122",,33,29,
,001,2024,,Fidelity401K 5500,,,AMERICAN NEWPERSPECTIVE CL F2,Other,,,,"12,665",,33,30,
,001,2024,,Fidelity401K 5500,,,AMERICAN NEWPERSPECTIVE CLASS A,Other,,,,261,,33,31,
,001,2024,,Fidelity401K 5500,,,AMERICAN NEWPERSPECTIVE CLASS F1,Other,,,,"167,264",,33,32,
,001,2024,,Fidelity401K 5500,,,AMERICAN SHORT TERMBOND FD CL F1,Corporate Bond,,,,"7,411",,33,33,
,001,2024,,Fidelity401K 5500,,,AMERICAN SMALL CAPWORLD CLASS A,Other,,,,"14,232",,33,34,
,001,2024,,Fidelity401K 5500,,,AMERICAN SMALLCAPWORLD CLASS F1,Other,,,,"2,848",,33,35,
,001,2024,,Fidelity401K 5500,,,AMERICAN STRATEGICBOND FUND F1,Corporate Bond,,,,433,,33,36,
,001,2024,,Fidelity401K 5500,,,AMERICAN WASHINGTONMUTUAL INVESTORS F1,Other,,,,"264,739",,33,37,
,001,2024,,Fidelity401K 5500,,,AMERICAN WASHINGTONMUTUAL INVESTORS F2,Other,,,,"62,304",,33,38,
,001,2024,,Fidelity401K 5500,,,AMG FRONTIERSMALL CAP GROWTH I,Other,,,,"230,248",,33,39,
,001,2024,,Fidelity401K 5500,,,AMG GW&K ESG BONDFUND N,Corporate Bond,,,,"20,355",,33,40,
,001,2024,,Fidelity401K 5500,,,AMG RIVER ROAD LRGCAP VALUE SELECT I,Other,,,,"12,272",,33,41,
,001,2024,,Fidelity401K 5500,,,AMG TIMESSQUAREINTERNL SMALLCAP N,Other,,,,479,,33,42,
,001,2024,,Fidelity401K 5500,,,AMG VERITAS ASIAPACIFIC FUND N,Mutual Fund,,,,"2,582",,33,43,
,001,2024,,Fidelity401K 5500,,,AMG VERITAS CHINAFUND N,Mutual Fund,,,,"2,698",,33,44,
,001,2024,,Fidelity401K 5500,,,AMG YACKTMAN FUNDI,Mutual Fund,,,,"135,646",,33,45,
,001,2024,,Fidelity401K 5500,,,AMG YACKTMAN GLOBALCLASS I,Other,,,,"10,409",,33,46,
,001,2024,,Fidelity401K 5500,,,AMG YACKTMAN SPECIALOPPS FD I,Other,,,,"11,866",,33,47,
,001,2024,,Fidelity401K 5500,,,AMG YACKTMANFOCUSED I,Other,,,,"70,040",,33,48,
,001,2024,,Fidelity401K 5500,,,AMG YACKTMANFOCUSED N,Other,,,,"668,843",,34,1,
,001,2024,,Fidelity401K 5500,,,ANCHOR RISK MANAGEDEQUITY STRAT INSTL,Other,,,,"2,035",,34,2,
,001,2024,,Fidelity401K 5500,,,APPLESEED FUND -INSTITUTIONAL,Mutual Fund,,,,"18,359",,34,3,
,001,2024,,Fidelity401K 5500,,,APPLIED FIN EXPLORERFUND INSTL,Mutual Fund,,,,"13,440",,34,4,
,001,2024,,Fidelity401K 5500,,,APPLIED FIN EXPLORERFUND INVESTOR,Mutual Fund,,,,"82,714",,34,5,
,001,2024,,Fidelity401K 5500,,,APPLIED FIN SELECTFUND INVESTOR,Mutual Fund,,,,424,,34,6,
,001,2024,,Fidelity401K 5500,,,AQR ALTERNATIVE RISKPREMIA FUND CL N,Mutual Fund,,,,"35,240",,34,7,
,001,2024,,Fidelity401K 5500,,,AQR DIVERSIFYINGSTRATEGIES FUND CL I,Mutual Fund,,,,"91,444",,34,8,
,001,2024,,Fidelity401K 5500,,,AQR DIVERSIFYINGSTRATEGIES FUND CL N,Mutual Fund,,,,"57,576",,34,9,
,001,2024,,Fidelity401K 5500,,,AQR EQUITY MARKETNEUTRAL FD CL I,Other,,,,"38,302",,34,10,
,001,2024,,Fidelity401K 5500,,,AQR EQUITY MARKETNEUTRAL FD CL N,Other,,,,"73,838",,34,11,
,001,2024,,Fidelity401K 5500,,,AQR GLOBAL EQUITYFUND CLASS N,Mutual Fund,,,,"103,793",,34,12,
,001,2024,,Fidelity401K 5500,,,AQR GLOBAL MACROOPPORTUNITIES FD I,Other,,,,"107,873",,34,13,
,001,2024,,Fidelity401K 5500,,,AQR GLOBAL MACROOPPORTUNITIES FD N,Other,,,,349,,34,14,
,001,2024,,Fidelity401K 5500,,,AQR INTERNATIONALMOMENTUM STYLE CL I,Other,,,,"74,079",,34,15,
,001,2024,,Fidelity401K 5500,,,AQR LARGE CAP MULTISTYLE CL N,Other,,,,129,,34,16,
,001,2024,,Fidelity401K 5500,,,AQR LARGE CAPDEFENSIVE STYLE CL N,Other,,,,"315,034",,34,17,
,001,2024,,Fidelity401K 5500,,,AQR LARGE CAPDEFENSIVE STYLE FD I,Other,,,,"16,904",,34,18,
,001,2024,,Fidelity401K 5500,,,AQR LARGE CAPMOMENTUM STYLE CL I,Other,,,,"112,617",,34,19,
,001,2024,,Fidelity401K 5500,,,AQR LONG SHORTEQUITY CL N,Other,,,,"475,220",,34,20,
,001,2024,,Fidelity401K 5500,,,AQR LONG SHORTEQUITY FUND CL I,Mutual Fund,,,,"1,491,580",,34,21,
,001,2024,,Fidelity401K 5500,,,AQR MANAGED FUTURESFUND CL N,Mutual Fund,,,,"17,290",,34,22,
,001,2024,,Fidelity401K 5500,,,AQR MANAGED FUTURESSTRATEGY HV CL I,Other,,,,"5,807",,34,23,
,001,2024,,Fidelity401K 5500,,,AQR MANAGED FUTURESSTRATEGY HV CL N,Other,,,,153,,34,24,
,001,2024,,Fidelity401K 5500,,,AQR MULTI-ASSET FUNDCLASS N,Mutual Fund,,,,"8,399",,34,25,
,001,2024,,Fidelity401K 5500,,,AQR RISK BALANCEDCOMMOD STRATEGY FD I,Other,,,,"41,200",,34,26,
,001,2024,,Fidelity401K 5500,,,AQR RISK BALANCEDCOMMOD STRATEGY FD N,Other,,,,"111,314",,34,27,
,001,2024,,Fidelity401K 5500,,,AQR SMALL CAPMOMENTUM STYLE CL I,Other,,,,"24,142",,34,28,
,001,2024,,Fidelity401K 5500,,,AQR SMALL CAPMOMENTUM STYLE CL N,Other,,,,"76,673",,34,29,
,001,2024,,Fidelity401K 5500,,,AQR STYLE PREMIAALTERNATIVE CL I,Other,,,,"21,903",,34,30,
,001,2024,,Fidelity401K 5500,,,AQR STYLE PREMIAALTERNATIVE CL N,Other,,,,"202,615",,34,31,
,001,2024,,Fidelity401K 5500,,,AQR TREND TOTALRETURN CLASS N,Other,,,,198,,34,32,
,001,2024,,Fidelity401K 5500,,,AQR TREND TOTALRETURN FUND I,Mutual Fund,,,,"48,850",,34,33,
,001,2024,,Fidelity401K 5500,,,ARIEL FUND,Mutual Fund,,,,"19,955",,34,34,
,001,2024,,Fidelity401K 5500,,,ARISTOTLE STRATEGICINCOME FUND A,Mutual Fund,,,,"3,168",,34,35,
,001,2024,,Fidelity401K 5500,,,ARISTOTLE STRATEGICINCOME FUND I,Mutual Fund,,,,"71,062",,34,36,
,001,2024,,Fidelity401K 5500,,,ARISTOTLE/SAUL GLOBLEQUITY CLASS I-2,Other,,,,691,,34,37,
,001,2024,,Fidelity401K 5500,,,ARROW MANAGEDFUTURES STRTGY CL I,Other,,,,"21,805",,34,38,
,001,2024,,Fidelity401K 5500,,,ARTISAN DEVELOPINGWORLD FD ADVISOR CL,Other,,,,247,,34,39,
,001,2024,,Fidelity401K 5500,,,ARTISAN DEVELOPINGWORLD FD INVESTOR CL,Other,,,,"517,236",,34,40,
,001,2024,,Fidelity401K 5500,,,ARTISAN FOCUSED FUNDADVISOR CL,Mutual Fund,,,,"6,136",,34,41,
,001,2024,,Fidelity401K 5500,,,ARTISAN GLOBALEQUITY FUND INVESTOR,Mutual Fund,,,,"74,494",,34,42,
,001,2024,,Fidelity401K 5500,,,ARTISAN GLOBALOPPORTUNITIES ADV,Other,,,,"6,279",,34,43,
,001,2024,,Fidelity401K 5500,,,ARTISAN GLOBALOPPORTUNITIES INV,Other,,,,"75,773",,34,44,
,001,2024,,Fidelity401K 5500,,,ARTISAN HIGH INCOMEFUND ADVISOR,Mutual Fund,,,,"4,095",,34,45,
,001,2024,,Fidelity401K 5500,,,ARTISAN HIGH INCOMEFUND INVESTOR,Mutual Fund,,,,"45,223",,34,46,
,001,2024,,Fidelity401K 5500,,,ARTISAN INTERNATLEXPLORER ADVISOR,Other,,,,"57,026",,34,47,
,001,2024,,Fidelity401K 5500,,,ARTISAN INTERNATLINVESTOR CLASS,Other,,,,"28,749",,34,48,
,001,2024,,Fidelity401K 5500,,,ARTISAN INTLSMALL-MID CAP INV,Other,,,,"122,514",,34,49,
,001,2024,,Fidelity401K 5500,,,ARTISAN INTLVALUE FUND INV CL,Mutual Fund,,,,"237,252",,34,50,
,001,2024,,Fidelity401K 5500,,,ARTISAN MID CAP,Other,,,,"5,270",,35,1,
,001,2024,,Fidelity401K 5500,,,ARTISAN SMALL CAPFUND INVESTOR CL,Mutual Fund,,,,"27,953",,35,2,
,001,2024,,Fidelity401K 5500,,,ARTISAN THEMATIC FDINVESTOR CLASS,Other,,,,"202,620",,35,3,
,001,2024,,Fidelity401K 5500,,,ARTISAN VALUE FUNDINVESTOR CL,Mutual Fund,,,,"5,492",,35,4,
,001,2024,,Fidelity401K 5500,,,AUER GROWTH,Other,,,,"6,243",,35,5,
,001,2024,,Fidelity401K 5500,,,AUXIER FOCUS FUNDINSTITUTIONAL SHRS,Mutual Fund,,,,"3,703",,35,6,
,001,2024,,Fidelity401K 5500,,,AVANTIS EMERGINGMARKETS EQUITY,Other,,,,"32,447",,35,7,
,001,2024,,Fidelity401K 5500,,,AVANTIS INTL SMALLCAP VALUE FUND,Mutual Fund,,,,"201,088",,35,8,
,001,2024,,Fidelity401K 5500,,,AVANTIS SHORT TERMFIXED INCOME,Other,,,,"32,515",,35,9,
,001,2024,,Fidelity401K 5500,,,AVANTIS US EQUITYFUND,Mutual Fund,,,,"70,823",,35,10,
,001,2024,,Fidelity401K 5500,,,AVANTIS US LARGE CAPVALUE FD INSTL,Other,,,,"66,556",,35,11,
,001,2024,,Fidelity401K 5500,,,AVANTIS US SMALL CAPEQUITY FUND INSTL,Mutual Fund,,,,966,,35,12,
,001,2024,,Fidelity401K 5500,,,AVANTIS US SMALLCAP VALUE FUND,Mutual Fund,,,,"768,525",,35,13,
,001,2024,,Fidelity401K 5500,,,AVANTISINTERNATIONAL EQUTIY,Other,,,,"36,061",,35,14,
,001,2024,,Fidelity401K 5500,,,AVE MARIA GROWTH,Other,,,,"63,791",,35,15,
,001,2024,,Fidelity401K 5500,,,AVE MARIA RISINGDIVIDEND FUND,Mutual Fund,,,,"249,239",,35,16,
,001,2024,,Fidelity401K 5500,,,AVE MARIA VALUE FUND,Mutual Fund,,,,"80,690",,35,17,
,001,2024,,Fidelity401K 5500,,,AVE MARIA WORLDEQUITY FUND,Mutual Fund,,,,"14,322",,35,18,
,001,2024,,Fidelity401K 5500,,,AXONIC STRATEGICINCOME FUND INSTL,Mutual Fund,,,,"40,259",,35,19,
,001,2024,,Fidelity401K 5500,,,AXS CHESAPEAKESTRATEGY I,Other,,,,"8,985",,35,20,
,001,2024,,Fidelity401K 5500,,,AXS MARKET NEUTRALFUND INVESTOR,Mutual Fund,,,,"5,247",,35,21,
,001,2024,,Fidelity401K 5500,,,AXS THOMAS REUTERSVENTURE CAPTL INDX I,Other,,,,"49,707",,35,22,
,001,2024,,Fidelity401K 5500,,,AZZAD ETHICHAL MIDCAP FUND CL A,Mutual Fund,,,,"11,822",,35,23,
,001,2024,,Fidelity401K 5500,,,BAIRD AGGREGATE BONDFUND INSTL,Corporate Bond,,,,"455,031",,35,24,
,001,2024,,Fidelity401K 5500,,,BAIRD AGGREGATE BONDFUND INVESTOR CL,Corporate Bond,,,,"3,479,883",,35,25,
,001,2024,,Fidelity401K 5500,,,BAIRD CORE PLUS BONDFD INVESTOR CL,Corporate Bond,,,,"6,768",,35,26,
,001,2024,,Fidelity401K 5500,,,BAIRD CORE PLUS BONDINSTITUTIONAL,Corporate Bond,,,,"28,794",,35,27,
