issuer_name,investment_description,asset_type,par_value,cost,current_value,units_or_shares,page_number,row_id,pdf_name,pdf_stem,sponsor_ein,plan_number,plan_year,sponsor,plan_name
,Total mutual funds,Mutual Fund,,,"33,164,728,872",,71,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,Total Investments and Notes Receivable from Participants,Mutual Fund,,,"33,306,429,189",,71,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,Total mutual funds,Mutual Fund,,,"33,164,728,872",,163,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,Total Investments and Notes Receivable from Participants,Mutual Fund,,,"33,306,429,189",,163,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
