issuer_name,investment_description,asset_type,par_value,cost,current_value,units_or_shares,page_number,row_id,pdf_name,pdf_stem,sponsor_ein,plan_number,plan_year,sponsor,plan_name
,VANGUARD FTSE ALLWRLD EXUS SMCP IDX I,Mutual Fund,,,"73,927",,67,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD FTSE SOCIALIDX FD ADMIRAL SHS,Mutual Fund,,,"118,525",,67,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD GLOBALCAPITAL CYCLES INV,Mutual Fund,,,"81,583",,67,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD GLOBALEQUITY INVESTOR CL,Mutual Fund,,,"149,723",,67,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD GLOBALWELLESLEY INVESTOR,Mutual Fund,,,"9,704",,67,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD GLOBALWELLINGTON INVESTOR,Mutual Fund,,,"25,752",,67,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD GNMAADMIRAL,Mutual Fund,,,"40,071",,67,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD GNMAINVESTOR CL,Mutual Fund,,,"23,350",,67,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD GROWTH &INCOME INVESTOR CL,Mutual Fund,,,"2,037",,67,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD GROWTHINDEX ADMIRAL,Mutual Fund,,,"1,273,811",,67,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD HEALTH CAREADMIRAL SHS,Mutual Fund,,,"34,850",,67,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD HEALTH CAREINDEX ADMIRAL SHARES,Mutual Fund,,,"34,579",,67,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD HEALTH CAREINVESTOR,Mutual Fund,,,"665,108",,67,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD HIGH DIVYLD IDX ADMIRAL SHS,Mutual Fund,,,"152,666",,67,43,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD HIGH YIELDCORP INVESTOR CL,Mutual Fund,,,"1,720,240",,67,44,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INFLATIONPROTECTED SECS INV,Mutual Fund,,,"52,761",,67,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INFORMATIONTECH IND ADMIR SHS,Mutual Fund,,,"44,969",,67,46,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INTERMEDTRM INVST GR INVEST,Mutual Fund,,,"186,258",,67,47,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INTERNATLVALUE PORT INV CL,Mutual Fund,,,"62,442",,67,48,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INTERNATNALEXPLORER INVESTOR,Mutual Fund,,,15,,68,1,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INTERNATNLDIVIDEND GROWTH INVS,Mutual Fund,,,"21,094",,68,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INTL CORESTOCK FUND ADMIRAL,Mutual Fund,,,"38,861",,68,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INTL CORESTOCK INVESTOR,Mutual Fund,,,"167,570",,68,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INTL GROWTHADMIRAL,Mutual Fund,,,"131,070",,68,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INT'LGROWTH PORT INV CL,Mutual Fund,,,"592,696",,68,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INTMDT TERMTREASURY INDEX FD,Mutual Fund,,,"19,906",,68,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INTNTL HIGHDIV YLD INDEX ADMIRL,Mutual Fund,,,"34,544",,68,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD INT-TERMBOND INDEX ADMIRAL,Mutual Fund,,,"5,717",,68,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD LARGE CAPINDEX ADMIRAL CL,Mutual Fund,,,"440,297",,68,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD LONG TERMINVMT GRADE INV,Mutual Fund,,,"502,803",,68,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD LONG TERMTREASURY INDEX ADM,Mutual Fund,,,"154,718",,68,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD LONG TERMUS TREASURY INVESTOR,Mutual Fund,,,"1,786,332",,68,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD MARKETNEUTRAL FD INST CL,Mutual Fund,,,"18,728",,68,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD MID CAPINDEX ADMIRAL SHS,Mutual Fund,,,"299,503",,68,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD MID CAPINDEX FUND CL I,Mutual Fund,,,"9,472",,68,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD MID-CAPGROWTH INDEX ADMIRAL,Mutual Fund,,,"57,836",,68,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD MID-CAPVALUE INDEX ADMIRAL,Mutual Fund,,,"175,280",,68,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD MULTI SECTRINCOME BOND ADMIRAL,Mutual Fund,,,"18,946",,68,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD PACIFICSTOCK INDEX ADML SHS,Mutual Fund,,,"36,952",,68,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD PRIMECAPADMIRAL CLASS,Mutual Fund,,,"229,889",,68,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD REAL ESTATEINDEX ADMIRAL,Mutual Fund,,,"129,328",,68,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD REAL ESTATEINDEX FD INSTL,Mutual Fund,,,"22,705",,68,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SELECTEDVALUE INVESTOR,Mutual Fund,,,"10,868",,68,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SHORT TERMBOND INDEX ADMIRAL,Mutual Fund,,,"80,242",,68,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SHORT TERMFEDERAL INVESTOR,Mutual Fund,,,"9,057",,68,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SHORT TERMINFLTN PROT SEC ADMR,Mutual Fund,,,"26,792",,68,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SHORT TERMINVMT GRADE ADMIRAL,Mutual Fund,,,"182,951",,68,28,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SHORT TERMINVMT GRADE INVESTOR,Mutual Fund,,,"27,939",,68,29,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SHORT-TERMGOVT BD INDEX ADM,Mutual Fund,,,"53,456",,68,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SMALL CAPINDEX INSTL PLUS,Mutual Fund,,,"59,305",,68,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SMALL-CAPGROWTH INDEX ADMIRAL,Mutual Fund,,,"286,494",,68,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SMALL-CAPINDEX ADMIRAL,Mutual Fund,,,"468,611",,68,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD SMALL-CAPVALUE INDEX ADMIRAL,Mutual Fund,,,"2,693,228",,68,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD STARINVESTOR CLASS,Mutual Fund,,,"160,234",,68,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD STRATEGICEQUITY INVESTOR,Mutual Fund,,,"59,957",,68,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD STRATEGICSMALL CAP EQ INVT,Mutual Fund,,,"52,865",,68,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TARGET RET2025 FD INVESTOR CL,Mutual Fund,,,"680,707",,68,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TARGET RET2035 FD INVESTOR CL,Mutual Fund,,,"437,677",,68,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TARGET RET2055 FUND INVESTOR,Mutual Fund,,,"402,454",,68,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TARGET RETINC FD INVESTOR CL,Mutual Fund,,,"5,086",,68,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TARGETRET 2060 FD INVESTOR,Mutual Fund,,,"6,242",,68,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TARGETRETIREMENT 2020 INVT,Mutual Fund,,,"54,703",,68,43,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TARGETRETIREMENT 2030 INVT,Mutual Fund,,,"1,020,969",,68,44,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TARGETRETIREMENT 2040 INV,Mutual Fund,,,"96,615",,68,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TARGETRETIREMENT 2050 INVT,Mutual Fund,,,"997,952",,69,1,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TOTAL BONDMARKET INDEX ADMIRAL,Mutual Fund,,,"822,787",,69,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TOTAL INTLSTK INDEX INST PLUS,Mutual Fund,,,"80,642",,69,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TOTAL INTNLSTOCK INDEX ADMIRAL,Mutual Fund,,,"628,001",,69,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TOTAL STOCKMARKET INDEX ADMIRAL,Mutual Fund,,,"3,316,205",,69,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TOTALINTERNTL BD INDX ADM,Mutual Fund,,,"52,342",,69,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD TTL WORLDSTK IDX ADMIRAL SHS,Mutual Fund,,,"10,854",,69,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD ULTRA SHORTTERM BOND INVESTOR,Mutual Fund,,,"18,298",,69,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD USGROWTH FUND INVESTOR,Mutual Fund,,,"442,379",,69,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD VALUE INDEXADMIRAL,Mutual Fund,,,"746,033",,69,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD WELLESLEYINCOME ADMIRAL,Mutual Fund,,,"55,900",,69,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD WELLINGTONINVESTOR,Mutual Fund,,,"72,050",,69,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD WINDSORINVESTOR,Mutual Fund,,,"443,599",,69,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VANGUARD/WELLESLEYINCOME INVESTOR,Mutual Fund,,,"1,173,478",,69,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VAUGHAN NELSONSELECT FUND CL Y,Mutual Fund,,,641,,69,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VERSUS CAPITALREAL ASSETS CL I,Mutual Fund,,,"33,214",,69,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VEST BITCOINSTRATEGY MANAGED VOL,Mutual Fund,,,"1,127,962",,69,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VEST BITCOINSTRTGY MNG VOL INSTL,Mutual Fund,,,"300,239",,69,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VEST S&P 500DIV ARISTO TGT INC I,Mutual Fund,,,"1,481",,69,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VEST S&P 500DIV ARISTO TGT INC I,Mutual Fund,,,"2,293",,69,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VEST US LARGECAP 10% BUFFER INVST,Mutual Fund,,,583,,69,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VEST US LARGECAP 20% BUFFER INSTL,Mutual Fund,,,"24,337",,69,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VEST US LARGECAP 20% BUFFER INVST,Mutual Fund,,,"46,463",,69,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY 500 INDEX FDMEMBER CLASS SHARES,Mutual Fund,,,"60,891",,69,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY CAPITALGROWTH FUND,Mutual Fund,,,"4,431",,69,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY CORE PLUSINTERMEDIATE BOND FD,Mutual Fund,,,"102,548",,69,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY FLOATINGRATE CL Y,Mutual Fund,,,757,,69,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY GLOBALENERGY TRANSITION A,Mutual Fund,,,891,,69,28,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY HIGH INCOMEFUND,Mutual Fund,,,"19,759",,69,29,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY INCOME FUNDCLASS A,Mutual Fund,,,"24,571",,69,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY INTERNATIONLFUND,Mutual Fund,,,"68,739",,69,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY NASDAQ-100INDEX FUND,Mutual Fund,,,"1,877,211",,69,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY NASDAQ-100INDEX FUND CL A,Mutual Fund,,,"1,494,841",,69,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY PRECIOUSMETALS AND MINERALS,Mutual Fund,,,"87,195",,69,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY PRECIOUSMETALS& MINERALS A,Mutual Fund,,,"23,687",,69,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY RS GLOBAL FDCL Y,Mutual Fund,,,"135,110",,69,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY RS GLOBALFUND CLASS A,Mutual Fund,,,"275,262",,69,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY RS LARGE CAPALPHA FUND CL A,Mutual Fund,,,"77,531",,69,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY RS SCIENCEAND TECHNOLOGY CL A,Mutual Fund,,,"19,801",,69,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY SCIENCE &TECHNOLOGY FD A,Mutual Fund,,,"306,199",,69,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY SUSTAINABLEWORLD FUND A,Mutual Fund,,,"28,579",,69,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VICTORY SYCAMOREESTABLISHED VALUE A,Mutual Fund,,,"3,414",,69,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VILLERE EQUITYFUND,Mutual Fund,,,392,,70,1,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS ALPHASIMPLEXMANAG FUTURE STRAT A,Mutual Fund,,,"265,226",,70,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS ALPHASIMPLEXMANAG FUTURE STRAT I,Mutual Fund,,,"95,335",,70,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS CEREDEX LRGCAP VALUE EQUITY I,Mutual Fund,,,"114,816",,70,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS CEREDEX MIDCAP VALUE EQUITY I,Mutual Fund,,,"5,263",,70,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS CONVERTIBLEFUND A,Mutual Fund,,,81,,70,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS CONVERTIBLEFUND C,Mutual Fund,,,"12,782",,70,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS DUFF & PHELPSGLBL REAL EST SECS A,Mutual Fund,,,"2,076",,70,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS DUFF & PHELPSGLBL REAL EST SECS I,Mutual Fund,,,"2,815",,70,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS DUFF & PHELPSRL ESTATE SECS I,Mutual Fund,,,"2,300",,70,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS DUFF & PHELPSSELECT MLP ENERGY A,Mutual Fund,,,"21,797",,70,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS DUFF & PHELPSWATER FUND A,Mutual Fund,,,"80,033",,70,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR EMERGMKTS SMALL CAP A,Mutual Fund,,,352,,70,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR HEALTHSCIENCES FUND INSTL,Mutual Fund,,,"6,625",,70,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR INTLSMALL MID CAP A,Mutual Fund,,,"12,659",,70,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR MID CAPCORE FUND CLASS A,Mutual Fund,,,"62,953",,70,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR MID CAPCORE FUND CLASS I,Mutual Fund,,,"2,942",,70,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR MID CAPGROWTH FUND CL A,Mutual Fund,,,"308,048",,70,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR MID CAPGROWTH FUND CL I,Mutual Fund,,,"30,359",,70,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR SMALL CAPGROWTH FUND CL I,Mutual Fund,,,"150,967",,70,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR SMALL MIDCAP CORE FD CL I,Mutual Fund,,,"159,272",,70,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR SMALLCAP CORE FUND CL A,Mutual Fund,,,"167,649",,70,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR SMALLCAP GROWTH CL A,Mutual Fund,,,"496,551",,70,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR SMALLCAP VALUE CLASS I,Mutual Fund,,,"34,211",,70,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS KAR SMALLMID CAP CORE CL A,Mutual Fund,,,"20,908",,70,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS NEWFLEET SHRTDURATION HIGH INC A,Mutual Fund,,,"4,001",,70,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS NFJ EMERGINGMARKETS VALUE A,Mutual Fund,,,"2,843",,70,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS NFJ LARGE CAPVALUE A,Mutual Fund,,,337,,70,28,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS NFJ MID CAPVALUE A,Mutual Fund,,,"7,883",,70,29,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS SEIX HIGHYIELD CL I,Mutual Fund,,,"4,501",,70,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS SGA EMERGINGMARKETS EQUITY FD A,Mutual Fund,,,922,,70,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS SGA EMERGINGMARKETS EQUITY FD I,Mutual Fund,,,"14,762",,70,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS SGA GLOBALGROWTH C,Mutual Fund,,,"9,696",,70,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS SILVANT MIDCAP GROWTH FUND A,Mutual Fund,,,"18,417",,70,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS SILVANT MIDCAP GROWTH FUND INST,Mutual Fund,,,"2,872",,70,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS ZEVENBERGENINNOVATIVE GR STK A,Mutual Fund,,,"105,848",,70,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS ZEVENBERGENINNOVATIVE GR STK I,Mutual Fund,,,"231,749",,70,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VIRTUS ZEVENBERGENTECHNOLOGY FUND A,Mutual Fund,,,"24,352",,70,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VOYA CORPORATE LEADTRUST SERIES B,Mutual Fund,,,"203,826",,70,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VOYA MULTI MANAGERINTL SMALL CAP I,Mutual Fund,,,"90,043",,70,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,VULCAN VALUE PARTNERFUND INVESTOR,Mutual Fund,,,"44,419",,70,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH CORE GROWTH,Mutual Fund,,,"380,274",,70,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH CORE GROWTHINSTITUTIONAL,Mutual Fund,,,"32,874",,70,43,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH EMERGINGINDIA FUND,Mutual Fund,,,"2,246,934",,70,44,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH EMERGINGINDIA FUND INSTL CL,Mutual Fund,,,"92,944",,70,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH EMERGINGMARKTS SM CAP INSTL,Mutual Fund,,,"2,045",,71,1,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH FRONTIEREMG SM COUNTRIES INS,Mutual Fund,,,"8,805",,71,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH GLOBALOPPORTUNITIES INSTL,Mutual Fund,,,"2,212",,71,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH GLOBALOPPORTUNITIES RETAIL,Mutual Fund,,,"106,758",,71,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH GREATERCHINA FUND INVESTOR,Mutual Fund,,,"2,010",,71,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH HOISINGTONUS TREASURY,Mutual Fund,,,"92,672",,71,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH INTERNATIONLOPPORTUNITIES FD,Mutual Fund,,,"30,693",,71,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH MICRO CAPVALUE FD INSTL,Mutual Fund,,,"2,649",,71,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH MICROCAP,Mutual Fund,,,"532,843",,71,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH MICRO-CAPVALUE FUND,Mutual Fund,,,"45,253",,71,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH SMALL CAPGROWTH,Mutual Fund,,,"51,586",,71,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH SMALL CAPGROWTH FUND INSTL CL,Mutual Fund,,,"24,944",,71,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH SMALL CAPVALUE,Mutual Fund,,,"80,340",,71,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH SMALL CAPVALUE INSTITUTIONAL,Mutual Fund,,,"7,938",,71,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH ULTRA GROWTH,Mutual Fund,,,"401,612",,71,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH ULTRA GROWTHFUND INSTL CL,Mutual Fund,,,"93,573",,71,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WASATCH US SELECTFUND INSTL,Mutual Fund,,,"1,059",,71,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WCM CHINA QUALITY GROWTH FUND INSTL,Mutual Fund,,,"14,897",,71,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,WCM FOCUSED EMERGINGMARKETS FUND INSTL,Mutual Fund,,,"29,059",,71,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
