issuer_name,investment_description,asset_type,par_value,cost,current_value,units_or_shares,page_number,row_id,pdf_name,pdf_stem
,13D ACTIVIST FUND CLA,Mutual Fund,,,362,,31,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,13D ACTIVIST FUNDCL I,Mutual Fund,,,"2,543",,31,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,AB LARGE CAP GROWTHCLASS A,Mutual Fund,,,"41,416",,31,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,AB LARGE CAPGROWTH CL C,Mutual Fund,,,21,,31,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,AB SMALL CAP GROWTHPORT CLASS A,Mutual Fund,,,"5,428",,31,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,ABBEY CAPITAL MULTIASSET FUND CLASS I,Mutual Fund,,,"5,183",,31,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,ABERDEEN CHINA ASHARE EQ INSTL SVC,Mutual Fund,,,"23,881",,31,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,ABERDEEN CHINA ASHARE EQUITY CL A,Mutual Fund,,,"30,281",,31,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,ABERDEEN DYNAMICDIVIDEND CL A,Mutual Fund,,,"7,579",,31,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,ABERDEEN EMERGINGMARKETS FD INSTL CL,Mutual Fund,,,"1,859",,31,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,ABERDEEN EMERGINGMRKTS FD INSTL SV CL,Mutual Fund,,,"2,872",,31,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,ABERDEEN GLOBALINFRASTRUCTURE INSTL,Mutual Fund,,,"3,540",,31,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,ABERDEEN U.S. SMALLCAP EQUITY FD CL A,Mutual Fund,,,"15,908",,31,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500
